GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of Parametric algorithm
Start time: Fri Jun 05 22:25:03 CEST 2020

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.phi0	settings.height	settings.weight	settings.age	settings.HR_nominal	settings.HR_max	settings.V_PV_init	settings.heart_R_vlv	settings.heart_R_LA	settings.heart_R_RA	settings.heart_drive_offset	settings.heart_drive_offset_maxAct	settings.heart_drive_k_TS	settings.heart_drive_k_TS_maxAct	settings.heart_drive_k_TR	settings.heart_drive_k_TR_maxAct	settings.heart_drive_drive	settings.heart_atr_Tact	settings.heart_atr_Emin	settings.heart_atr_Emax	settings.heart_atr_sigma_a	settings.heart_vntr_Vw_factor	settings.heart_vntr_AmRef_factor	settings.heart_vntr_sigma_act_factor	settings.heart_vntr_sigma_actMaxAct_factor	settings.heart_vntr_k_passive_factor	settings.thoracic_pressure_ratio	settings.hydrostaticLevel_correction	settings.TPR	settings.TR_frac	settings.k_E	settings.R_vc	settings.tissues_nominal_pressure	settings.tissues_nominal_zpv	settings.tissues_nominal_stressed_volume	settings.tissues_nominal_cardiac_output	settings.Ra_factor	settings.tissues_Ra_tau	settings.tissuesCompliance_PhiEffect	settings.exercise_factor_on_tissue_compliance	settings.tissues_gamma	settings.exercise_factor	settings.veins_gamma	settings.veins_alpha	settings.veins_activation_tau	settings.venous_diameter_correction	settings.vessel_a	settings.vessel_b	settings.vessel_c	settings.vessel_d	settings.blood_mu	settings.blood_rho	settings.baro_d0	settings.baro_Ts	settings.baro_delta0_factor	settings.baro_delta0_aor	settings.baro_delta0_car	settings.baro_g	settings.baro_fsn	settings.baro_f1	settings.pulm_CO_target	settings.pulm_C_PV	settings.pulm_C_PA	settings.pulm_R_PA
1	1	1	0.30100710186625157	0.225	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Initial point.
2	2	1	0.31756842556681575	0.275	1.7	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
3	3	1	0.24850132067846226	0.25	1.53	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
4	4	1	0.4274161358384836	0.25	1.87	70.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
5	5	1	0.2700519622445196	0.25	1.7	63.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
6	6	1	0.2700511191038911	0.25	1.7	77.0	35.0	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
7	7	1	0.27005070939697373	0.25	1.7	70.0	31.5	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
8	8	1	0.27005781319430017	0.25	1.7	70.0	38.5	1.0	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
9	9	1	0.2979983255144862	0.25	1.7	70.0	35.0	0.9	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
10	10	1	0.32174465669955654	0.25	1.7	70.0	35.0	1.1	3.0	7.400000000000001E-5	133322.387415	1999835.811225	1999835.811225	0.0162625	7.6875E-4	0.14	0.13	0.45	0.08	1.0	0.1	0.05	0.15	0.125	0.90375	1.06	2.0	30.25	1.0	0.8	1.0	1.19490152E8	5.118955	0.358125	0.25	2666.4477483	0.002304	7.95E-4	1.05E-4	4.2625	1.2E-5	0.2	0.2	0.5	40.0	0.5	5.0	0.1	1.5	0.2802	-505.3	0.1324	-11.14	0.004	1050.0	1.5	300.0	0.25	0.6	0.55	0.54	0.036	0.0031	4850.0	1.8751539396141E-7	4.0503325095665E-8	2.1441532959301E7	Function evaluation successful.
